date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:38	28564/28564	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2008:57:37%20GMT	https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500.html	(from )
14:27:39	2781/2781	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2008:57:39%20GMT	https://app.brancher.ai/robots.txt		(from )
14:27:40	287/287	---M--	200	added ('OK')	image/svg+xml	etag:%229ea44a6ebfbe338744ce0f5af37b654c%22	https://app.brancher.ai/static/branding/square-or-circular-avatar.svg	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/static/branding/square-or-circular-avatar.svg	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:40	3174/3174	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226e73097bc5e3cd7e94deb1a254160261%22	https://app.brancher.ai/static/branding/logo-on-dark.svg	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/static/branding/logo-on-dark.svg	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:40	24276/24276	---M--	200	added ('OK')	font/woff2	etag:%228951283ba1faa0d2c460f42df9366ca1%22	https://app.brancher.ai/_next/static/media/3534416bbfdcc9be-s.p.woff2	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/media/3534416bbfdcc9be-s.p.woff2	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:40	442/442	---M--	200	added ('OK')	image/png	etag:%22e4125291e1707f27956c7e0a071eb486%22	https://app.brancher.ai/static/branding/square-or-circular-avatar.png	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/static/branding/square-or-circular-avatar.png	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:41	31490/31490	---MCZ	200	added ('OK')	text/css	etag:W/%22306644d779fa6f8054211812a0362085%22	https://app.brancher.ai/_next/static/css/2011f910b624ab56.css	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/css/2011f910b624ab56.css	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:41	25797/25797	---MCZ	200	added ('OK')	text/css	etag:W/%227d76c61752e3d9d1c9de8e149223e5d1%22	https://app.brancher.ai/_next/static/css/6d2afdb868033c90.css	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/css/6d2afdb868033c90.css	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:42	4550/4550	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dce03d729265bc19e82fa8e2fe8a5488%22	https://app.brancher.ai/_next/static/chunks/webpack-1fed48f619f7ba38.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/webpack-1fed48f619f7ba38.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:43	474/474	---M--	200	added ('OK')	application/javascript	etag:%2286e662b51721ba4fe5d2be469ef62e1f%22	https://app.brancher.ai/_next/static/chunks/main-app-9d29112874f4942d.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/main-app-9d29112874f4942d.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:44	113168/113168	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254fc1ff0c239b205ab7477d1677f5538%22	https://app.brancher.ai/_next/static/chunks/4938-3c4c8a46f7f34cd3.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/4938-3c4c8a46f7f34cd3.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:44	15853/15853	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255f0330612f971ac3d2870d8e3ab26a5%22	https://app.brancher.ai/_next/static/chunks/1651-20353855060cdb3f.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/1651-20353855060cdb3f.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:45	6136/6136	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265ede08ac0c2ce95122effdd57bcfd46%22	https://app.brancher.ai/_next/static/chunks/5935-0fdf77df432eccc0.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/5935-0fdf77df432eccc0.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:45	9225/9225	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc30e5005eeef27fff7e4c16c7afd1d0%22	https://app.brancher.ai/_next/static/chunks/app/layout-2826ec30f4961173.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/app/layout-2826ec30f4961173.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:46	68257/68257	---MCZ	200	added ('OK')	application/javascript	etag:W/%226bc7d749c8048b5beb7466d2a4248292%22	https://app.brancher.ai/_next/static/chunks/4105-9d8fbad0bc86da71.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/4105-9d8fbad0bc86da71.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:46	20883/20883	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255ae8fa1e1b59ef27aa2a384a9dec2ff%22	https://app.brancher.ai/_next/static/chunks/8251-027a842a4b29a20a.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/8251-027a842a4b29a20a.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:47	10849/10849	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dbe2e015fab49c4eca5eec0518a145ee%22	https://app.brancher.ai/_next/static/chunks/713-61b9756c92ad84a6.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/713-61b9756c92ad84a6.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:47	171904/171904	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2becb0f24eea0d9016c42e08a93f38%22	https://app.brancher.ai/_next/static/chunks/fd9d1056-9afc25929b74af77.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/fd9d1056-9afc25929b74af77.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:47	59115/59115	---MCZ	200	added ('OK')	application/javascript	etag:W/%221812f2a94fdf953e7db3a9f18ce827d3%22	https://app.brancher.ai/_next/static/chunks/7335-a67bffbc47f7780d.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/7335-a67bffbc47f7780d.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:48	8507/8507	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e73936902721d7591a5870f4b2c27334%22	https://app.brancher.ai/_next/static/chunks/5355-992c9daf08c7ead6.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/5355-992c9daf08c7ead6.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:48	12510/12510	---MCZ	200	added ('OK')	application/javascript	etag:W/%229c04e9e08ca01e4da072d7cf1d3a8a9a%22	https://app.brancher.ai/_next/static/chunks/9017-6e0f008a7bc72e3d.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/9017-6e0f008a7bc72e3d.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:48	41306/41306	---MCZ	200	added ('OK')	application/javascript	etag:W/%22db9a3d9f1bfe05f6f9ebcbed2e5288f5%22	https://app.brancher.ai/_next/static/chunks/9220-7dc59bd055e2e4f9.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/9220-7dc59bd055e2e4f9.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:48	28541/28541	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de41dff369fb1938db757a5440732c16%22	https://app.brancher.ai/_next/static/chunks/7785-d6c0909cc16b569e.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/7785-d6c0909cc16b569e.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
14:27:49	18103/18103	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a886fff2fb1d0d36f330e39a21feb15f%22	https://app.brancher.ai/_next/static/chunks/8329-127bc7296a695b1f.js	C:/Users/venka/Documents/local%20food%20finder/app.brancher.ai/_next/static/chunks/8329-127bc7296a695b1f.js	(from https://app.brancher.ai/9dd5e36b-d972-47dc-9c80-2fb22fd0f500)
